Topic,Count,Name,Representation,Representative_Docs
160,35,160_nonprofit_independent_university_nonprofits,"['nonprofit', 'independent', 'university', 'nonprofits', 'stevemullisnet', 'reader', 'nucarnival', 'exetermarine', 'exeter', 'universities']","['📰 A collection of independent and non-profit news organizations to read, share and support. Their work is more important than ever.\r\n\r\nCurated by @stevemullis.net. Feed is a work in progress.\r\n\r\nDM me if you want your independent or non-profit media organization to be added.', 'Universities in Denmark. Posts from researchers and groups at AU, AAU, DTU, ITU, RUC, SDU, UCPH. \n\nThe feed is based of separate university lists found on my personal account. Please give suggestions on which accounts to add to the respective lists.', 'Nonprofit and not-for-profit news and media outlets from around the world.\n\nContact @velichor.co with accounts to add.\n\nTags: non profit news non-profit news independent news indie news reporting\xa0organization not for profit news reader supported reader funded independent journalism']"
161,35,161_gowhee_parents_families_kids,"['gowhee', 'parents', 'families', 'kids', 'travel', 'traveling', 'global', 'tips', 'discover', 'curated']","['Discover and share tips with other families about traveling to Japan with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag #gowheejapan', 'Discover and share tips with other families about traveling to Canada with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag: #gowheeCanada', 'Discover and share tips with other families about traveling to Australia with kids. From local recommendations to tips on how to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag: #gowheeaustralia']"
162,34,162_sakura_collect_searched_wars,"['sakura', 'collect', 'searched', 'wars', 'worth', 'register', 'phrases', 'set', 'days', 'japanese']","['サクラ大戦Ⅴ（サクラ大戦シリーズ）のフィードです。\nThis is the feed for Sakura Wars: So Long, My Love (Sakura Wars series).\n\nサクラ大戦Ⅴに関する文言を登録し、検索したポストを収集しています。\nWe register phrases related to Sakura Wars: So Long, My Love and collect searched posts.\n\n※7日分のポストを集める設定にしています\n※I have it set to collect 7 days worth of posts.', 'サクラ大戦4（サクラ大戦シリーズ）のフィードです。\nThis is the feed for Sakura Wars 4: Fall in Love, Maidens(Sakura Wars series).\n\nサクラ大戦4に関する文言を登録し、検索したポストを収集しています。\nWe register phrases related to Sakura Wars 4 and collect searched posts.\n\n※7日分のポストを集める設定にしています\n※We have it set to collect 7 days worth of posts.', '新サクラ大戦（サクラ大戦シリーズ）のフィードです。\nThis is the feed for New Sakura Wars (Sakura Wars series).\n\n新サクラ大戦に関する文言を登録し、検索したポストを収集しています。\nWe register phrases related to New Sakura Wars and collect searched posts.\n\n※7日分のポストを集める設定にしています\n※I have it set to collect 7 days worth of posts.']"
163,34,163_blueskyfeedscom_made_at_apocalypses,"['blueskyfeedscom', 'made', 'at', 'apocalypses', 'uhhhhhhhhhh', 'gros', 'hause', 'gayyyyy', 'fernando', 'yuh']","['The people with whom I have social relationship, not just parasocial relationships. //Made at BlueskyFeeds.com', 'The people who talk publicly round and about the Hause of Wombat //Made at BlueskyFeeds.com', 'Zombies, Apocalypses, and Zombie Apocalypses //Made at BlueskyFeeds.com']"
164,34,164_languages_settings_ss_man,"['languages', 'settings', 'ss', 'man', 'chainsaw', 'renjun', 'nontext', 'unselect', 'ja', 'latvian']","['Custom non-""text only"" feed to receive posts about \n#WutheringWaves #鳴潮  #명조 \nTo maximize the feeds, enable [EN, JA, KR] languages or unselect all languages in Settings > Languages > Content Languages', 'Non-""text only"" feed. \n#初音ミク #hatsunemiku \nTo maximize the feeds, enable [EN, JA, KR] languages or unselect all languages in Settings > Languages > Content Languages', 'Non-""text only"" feed. \n#東方Project \nTo maximize the feeds, enable [EN, JA, KR] languages or unselect all languages in Settings > Languages > Content Languages']"
165,34,165_3d_printing_printmaking_filament,"['3d', 'printing', 'printmaking', 'filament', 'printer', 'laser', 'artadventcalendar', 'devgame', '3dprinter', '3dp']","['A feed for 3D printing and related topics. All languages; use 3D printing (English) for English-only posts.', 'all things 3d printing', '3d printing.']"
166,34,166_science_minimalism_joy_earthsciencebskysocial,"['science', 'minimalism', 'joy', 'earthsciencebskysocial', 'digitallibraries', 'indulgence', 'sarahrovitobskysocial', 'perpetual', 'ministry', 'openaccess']","['Posts from Sisters of Perpetual Indulgence from around the world.\n\nThe Sisters of Perpetual Indulgence are a worldwide order of 21st-century secular nuns dedicated to the promulgation of universal joy and the expiation of stigmatic guilt.', 'Minimalism is an artistic and lifestyle philosophy centered around simplicity, clarity, and deliberate reduction of excess. It embraces the idea of ""less is more,"" focusing on essential elements while eliminating unnecessary distractions.', 'Science of Science (science of science|#metascience|#scisci)']"
167,33,167_dhmakes_germangay_exclusion_pic,"['dhmakes', 'germangay', 'exclusion', 'pic', 'bigtits', 'bigboobs', 'mommymilkers', 'skinny', 'werewolves', 'petite']","['👑 A curated list of busty creators and some other magic sprinkled in sorted by most popular.\r\n\r\n#bigboobs #bigtits #mommymilkers', 'Feed to follow the hashtag #germangay posts with pics. Feed contains nsfw images (no exclusion by feed design). Collects from past 7 days, only posts, no replies or reposts. Post a pic and use #germangay', 'Feed to follow the hashtag #germangay posts with pics. Feed contains nsfw images (no exclusion by feed design). Collects from past 7 days, only posts, no replies or reposts. Post a pic and use #gayselfie']"
168,33,168_beer_wine_cocktail_cocktails,"['beer', 'wine', 'cocktail', 'cocktails', 'breweries', 'wines', 'cheers', 'impress', 'mixology', 'tasting']","['Explore the world of wine tasting! Join us for tips, reviews, and experiences that enhance your appreciation for fine wines. Cheers!', 'Welcome to The Beer Rep. A UK online beer shop offering the best indie beer from UK independent breweries. Delivering nationwide in the UK. Have a look at thebeerrep.com', 'Alexandria friends sharing their beer advent calendars from the Department of Beer and Wine']"
169,33,169_government_sites_links_singapore,"['government', 'sites', 'links', 'singapore', 'trending', 'spain', 'pssp', 'cartel', 'brazil', 'mexican']","['Posts with links to UK Government sites', 'Trending posts with links from UK Government sites.', 'Trending posts with links to U.S. Government sites.']"
170,33,170_african_nigeria_africa_australia,"['african', 'nigeria', 'africa', 'australia', 'tropical', 'africanbook', 'emorierbskysocial', 'africanauthor', 'cyclones', 'beirut']","['A comprehensive hashtag feed for African Fiction\n\n#africanlit #africanliterature #africansf #africanfuturism #africanwriter #africanauthor #africanbook #africanpublisher #africanmagazine #africananthology #africancollection #africanfiction', 'Keep in touch with African Literature!\n\n#AfricanLiterature #AfricanAuthor, #AfricanBook #AfricanWriter', 'This feed includes diverse African spirituality practices. To be included in the feed, use specific terms like African Spirituality, Hoodoo Conjure, Ifa Tradition, Ifa Religion, Voodoo, African deity, African deities, African god, African goddess, etc.']"
171,33,171_locked_players_conversations_highlights,"['locked', 'players', 'conversations', 'highlights', 'stay', 'join', 'game', 'place', 'one', 'more']","['Stay locked in on the Miami Heat! 🔥🏀 Join the latest conversations on players, news, game highlights, and more. All things Heat, all in one place.\n\n#Heat #MiamiHeat #HeatNation', 'Stay locked in on the Sacramento Kings! 👑🏀 Join the latest conversations on players, news, game highlights, and more. All things Kings, all in one place.\n\n#Kings #SacKings #SacramentoProud #SacramentoKings #LightTheBeam', 'Stay locked in on the New York Knicks! 🗽🏀 Join the latest conversations on players, news, game highlights, and more. All things Knicks, all in one place.\n\n#Knicks #NewYorkKnicks #NewYorkForever #NYKnicks']"
172,32,172_hockey_nhl_blackhawks_canucks,"['hockey', 'nhl', 'blackhawks', 'canucks', 'pwhl', 'louis', 'jets', 'fams', 'iihf', 'nfl']","['Welcome to the official BlueSky NHL Feed, created by The Hockey Hotline', 'Feed Hockey - Work In progress', ""You're feed for all things hockey on bluesky (NHL, IIHF, PWHL)!""]"
173,32,173_education_teach_educators_oclock,"['education', 'teach', 'educators', 'oclock', 'ed', 'teachers', 'elearning', 'learning', 'club', 'teacher']","['Way back when Twitter was free and open minded, educators (and others) used to do a #FF which was short for #FollowFriday. So people would like half dozen or so profiles of educators they find worthy of a follow, so as to guide others along. Educators following educators and building community.', ""This feed collates any post with the hastag #teacher5oclockclub\n\nIt's for: Primary Teachers, Secondary Teachers, teachers 5 o'clock club, teachers 5 oclock club, teachers 5am club, teacher 5 o'clock club, teacher 5 oclock club, teacher 5am club."", 'a feed for posts about ed teach!\n\ntracks: #edteach, #edwardteach #edbabygirlteach #edwardbabygirlteach, ed teach, edward teach, ed babygirl teach, edward babygirl teach, ed ofmd']"
174,32,174_library_librarians_libraries_librarian,"['library', 'librarians', 'libraries', 'librarian', 'schoollibrary', 'school', 'nasa', 'space', 'teacherlibrarian', 'esa']","['Welcome to Library Technology! A hub for librarians and tech enthusiasts to explore innovations, share tips, and discuss the tools shaping modern libraries. From cataloging to makerspaces, let’s connect and learn! 💻📖 #librarytech #librarian #library', 'Welcome to Teacher Librarian! A community for educators who bring learning to life through libraries. Share resources, spark creativity, and celebrate the magic of teaching in the library world. 📚🎓✨ #teacherlibrarian #schoollibrary #librarians', 'Welcome to Libraries in Schools! A space for school librarians, teacher-librarians, and library enthusiasts to share ideas, resources, and stories. Let’s celebrate the heart of every school: the library. 💡📚✨ #schoollibrary #teacherlibrarian #librarians']"
175,31,175_characters_character_designs_dnd,"['characters', 'character', 'designs', 'dnd', 'commissioned', 'headcanons', 'captaingerbearbskysocial', 'jemichis', 'httpssamibriggscarrdcopersonal', 'httpspicartotvcaptainondeck']","['Commissioned art of my characters.', 'Here you can see my DnD related artwork, be it my own characters or commissions.', ""Cubesona's original art, including character designs I made myself AND original characters!""]"
176,31,176_wrestling_wwe_aew_prowrestling,"['wrestling', 'wwe', 'aew', 'prowrestling', 'wrestlesky', 'njpw', 'watchroh', 'roh', 'ajpw', 'gcw']","['Feed for Fans of Pro-Wrestling WWE,AEW,TNA,ROH,NJPW & Others', 'Wrestling video highlights and clips\n\nPlease tag posts with any of the 3 wrestling emojis, #prowrestling, #wrestlesky #LuchaLibre #aew, #wwe, #NJPW, #ROH, #WatchROH, #BritWres, #CMLL, #GCW, #TJPW, #ECW, #WCW, #AJPW, #DDT, #NOAH, #STARDOM', 'Posts about pro wrestling\n\nPlease tag posts with any of the 3 wrestling emojis, #prowrestling, #wrestlesky #LuchaLibre #aew, #wwe, #NJPW, #ROH, #WatchROH, #BritWres, #CMLL, #GCW, #TJPW, #ECW, #WCW, #AJPW, #DDT, #NOAH, #STARDOM']"
177,31,177_kpop_groups_idols_girl,"['kpop', 'groups', 'idols', 'girl', 'kpopsky', 'itzy', 'exo', 'group', 'bts', 'aespa']","['hastags #kpop or #k-pop must be used to be included in feed. this is a public kpop feed featuring idols from the best k-pop girl groups.', 'This is a new feed for all kpop related content. It catches anything kpop related like group names (stray kids, blackpink, bts, aespa, itzy, red velvet and more), shows and more! <3 #kpop #kpopSky', 'kpop feed post only']"
178,30,178_kathaja_krim_alien_species,"['kathaja', 'krim', 'alien', 'species', 'information', 'yes', 'yep', 'created', 'an', 'idk']","['All art and information related to the Karyta, an alien species created by Kathaja Krim.', 'All art and information related to the Darakay, an alien species created by Kathaja Krim.', ""All art and information related to the Nan'Te-gah, an alien species created by Kathaja Krim.""]"
179,30,179_ship_aot_titan_attack,"['ship', 'aot', 'titan', 'attack', 'yuri', 'kattabolt', 'genshin', 'furina', 'areyoshi', 'railgun']","['A feed for the ship between Focalors and Furina from Genshin Impact. Searches for posts and tags containing the following ship names: Focafuri, Furifoca, Furilors, Focarina, フォカフリ, 포칼푸리, 双芙\n\nWarning: May include NSFW posts. Only tracks the past 7 days.', 'A feed for the ship between Furina and Clorinde from Genshin Impact. Searches for posts and tags containing the following ship names: Furinde and Clofuri.\n\nWarning: May include NSFW posts. Only tracks the past 7 days.', 'A feed for the ship between Neuvillette and Furina from Genshin Impact. Searches for posts and tags containing the following ship names: Neuvifuri, Focallette, 那芙, ヌヴィフリ, and 느비푸리. \n\nWarning: May include NSFW posts. Only tracks the past 7 days.']"
180,30,180_trump_secy_election_candidates,"['trump', 'secy', 'election', 'candidates', 'crime', 'meltdown', 'dir', 'true', 'politics', 'presidential']","[""The True Crime Channel feed is your premier source to access a range of true crime content. \n\nTo include your content in this feed, remember to use the hashtag #TrueCrimeChannel and/or #TrueCrime.\n\nPlease show your support by tapping the '❤️' to increase visibility and reach for all true crime fans."", ""Trump Meltdown Watch\n\nYou can't escape him. TRUMP is back — and #UsPolitics is on the edge. This feed captures every reaction, gaffe, and meltdown tied to his name. Watch the chaos unfold in real time.🤡"", '#SignalGate! & #ChatGate!\nSignal Gang a group of incompetents in Trump adm: Pete Hegseth Secy Defense; Vice J.D. Vance; John Ratcliffe CIA Dir.; Marco Rubio Secy of State; Tulsi Gabbard Dir. of Intel; Mike Waltz DHS; Scott Bessent Secy Treasury; Steve Witkoff ME Envoy; Susie Wiles Chief Staff.']"
